comment,label
nhận hàng hôm đầu khiếu_nại trả hàng hoàn tiền luôn mà mồm kêu dùng gần tháng trời cái kiểu bán hàng rách này thì sớm_muộn cũng sập thôi đúng cái loại ăn_không_nói_có mở mồm ra không biết ngượng bố_thí cho mấy trăm mà hốc,1
đặt bộ k300 soundcar thì number nhưng mic thì bm900 chả biết là uy_tín để đâu,1
giao hang cham tre,2
nút tăng giảm âm_lượng không hoạt_động không có hộp nhựa chất_lượng tai nghe kém,1
tai nghe cũ bên tai trái bị nhỏ không có bass bên tai phải vừa mua về đã bung được luôn không hiểu cửa_hàng bán hàng thế_nào,1
đầu cắm lỗi xem phim không truyền được giọng nói chỉ truyền nhạc,1
xai không được,1
cắm vô thì màn_hình đen_thui trong khi máy vẫn nhận màn_hình đi ra phong vũ mua đầu chuyển number không thì xài ngon_lành lừa_đảo thiệt,1
hàng cũ rỉ sét bên trong cửa_hàng quá tào_lao,1
cánh_tay_đòn ngắn number cm không đúng như giới_thiệu chỉ phù_hợp với tivi number inh trở xuống bạn nào mua nên cân_nhắc kỹ trướckhi mua nếukhông sẽ không sử_dụng được cửa_hàng nhiệt_tình cho đổi trả nhưng trả lại hàng thì tiền cước đắt bằng number number tiền hàng nên không trả lại nữa,1
không có keo dán tản nhiệt trong gói hàng cửa_hàng làm_ăn kiểu gì vậy,1
keo có mỗi tí,1
vỏ bọc điều_khiển không vừa đo theo kích_thước trên web thì không chính_xác nhưng hàng đẹp nhìn rất xinh,1
giao hàng lâu hỏng number bên tai quá thất_vọng,1
vừa mua về được number number hôm thì hỏng number tai k nghe được giao hàng nhanh,1
hàng không đẹp không đẹp đâu các bạn ạ nghe thì rè hàng tiền nào của đó đúng là thật nghe nhạc còn bị delay,1
nghe được number hôm thì rè k nghe được nữa mua number đ nên giao hàng thấy cực lâu và chất_lượng thì number hôm k nên mua,1
ha người pho pha ch mua phi ca tiê n mơ hô p ra la muô n vư t đi luôn,1
cửa_hàng giao thiếu dây đeo mà kêu hoàn tiền không thấy đâu quá tệ,1
làm_ăn không có tí trách_nhiệm nào đặt_hàng number kiểu gửi hàng lại number kiểu khác báo thì chỉ nói câu xin_lỗi rồi bơ đi làm_ăn kiểu này sẽ không bjo bền được,1
thằng thiết_kế sản_phẩm ngu khó tháo_lắp,1
màu tệ cực nhựa cũng tệ chốt mở thì lúc_la_lúc_lắc như đồ_chơi vậy_mà màu xấu lắm không giống màu hồng trong hình,1
không nghe được như bị lỗi number tai nghe,1
chất_lượng kém sạc lâu mà_lại mau hết pin,1
sản_phẩm bị lỗi rất nhiều một tai không nghe được tai nghe được bấm chuyển bài thì lại tăng_âm lượng nắp mở khá cứng mình mua number cái bên này rồi chỉ có number cái đầu_tiên là ngon nhất còn đâu đều không ra gì cả,1
khó kết_nối sạc không vào nói_chung là k nên mua đồ đểu,1
tai nghe hỏng number bên pin thì ảo lại còn không kết_nối được,1
tai nghe em chơi pubg bật mic nói bên kia k nghe và tai nghe đeo vào do bị to nên dễ rơi và bị kềnh ra nhìn xấu ghê huhu,1
mua về không cắm sạc được dubgf kiểu bao h cửa_hàng rep tn và giải_quyết ổn_thoả mình sẽ sửa lại đánh giâ,1
âm_thanh cực_kỳ rè rất nhanh hết pin dock sạc nhỏ và mỏng hình_ảnh cái lớn hơn là cái cũ của mình cái nhỏ và lùn hơn là cái mình mua của cửa_hàng dùng được number tiếng đồng_hồ thì tai bên trái sạc không được thậm_chí mở lên lại mấy lần cũng không còn kết_nối được nữa đi tong number không và nửa tháng chờ,1
sản_phẩm ở chỗ màng loa dán gì ý khấp khiểng,1
đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh,2
sản_phẩm khá ổn bị tróc vải một_ít bên góc loa giao hàng quá lâu,1
đừng mua kẻo tốn tiền cả nhà ạ mua về có dùng được đâu cửa_hàng trước khi ship hàng cho khách mà k kiểm_tra xem sản_phẩm thế_nào chán mất oan number,1
loa bluetooth mà không kêu thì nên gọi nó là cái gì,1
loa kém sản_phẩm bị liệt nút âm_thanh nhỏ không hài_lòng về sản_phẩm này,1
sạc yếu sạc pin gì mà sạc xong còn sụt pin hơn so với không sạc thì chịu rồi đã vậy giao hàng còn rõ lâu chờ đến mức quên luôn là mình đã mua luôn video mang tính_chất nhận xu,1
sạc đểu,1
hàng đã giao quằn què dell đâu,1
sạc chậm quá,1
cắm vào giật lác tự nảy luôn,1
sạc hở điện,1
mới cắm vào thì bj lag máy luôn ạ,1
đây là của sạc nhanh nhưng_mà sạc number phút k lên nổi number còn vận_chuyển thì bảo đợi tí đang lên nhưng k đợi còn chạy rồi đầu làng làm người ta lại phải đi r đấy nhà thì ở tít cuối nói_chung k hài_lòng,1
hàng giở nạp chậm củ sạc này như đã qua sử_dụng bên trong lắc còn muốn rớt ra ngoài,1
đmmmm thằng giao hàng nó lấy hàng rồi nó không giao cho đâu đơn number k thì nó không giao đâu ddmmmmm,1
sạc chậm,1
sạc điện_thoại bị đơ cảm_ứng,1
củ sạc cầm rất nhẹ cắm thử thì không thấy có điện giao hàng thì lâu rẻ mà không dùng được,1
đừng mua mọi người nhé mình dùng bị nổ còn có mùi khét nữa mọi người đừng mua về kéo_lại cháy nhà,1
number sao cửa_hàng lừa_đảo mua number cái cắm không xạc được cái nào luôn coi như bố_thí cho cửa_hàng number không tiền bọn lừa_đảo sẽ nhận quả_báo thôi,1
củ như j ý sạc không lên,1
củ sạc lâu vào pin,1
hàng đăng hình number kiểu gửi hình number kiểu,1
không nên mua hàng của cửa_hàng này giao hàng quá chậm cửa_hàng rất kiêu hỏi không thèm trả_lời hàng hỏng nút bấm mà hỏi xong cửa_hàng bơ đi luôn,1
chỉ dán được mặt kín trong bên viền ngoài không có keo dán như không dán quá tệ,1
ốp gắn vào quá trật khó gắn xấu,1
giao quá lâu mặc_dù biết lâu nhưng number ngay là quá lâu đả vậy còn giao nhằm mầu,1
co viền hay không viền tui cân cái lỗ để bắt đưa hinh không rõ,1
tệ quá màng mỏng hơn cái fake mất_công đi vất,1
number bên nghe không được,1
mua hôm trước hôm sau hư cả number bên tai,1
tai nghe bị lỗi,1
phục_vụ chán inbox không rep hàng đóng_gói không chắc_chắn lắm airpods nghe cũng tạm vỏ thì lỗi không khớ phần trước,1
tai nghe không hề nghe được,1
thời_gian giao hàng lâu nhắn_tin page k trả_lời tin nhắn của khác h tai nghe k kết_nối được blutooth của điện_thoại k nhét được sạc vào để sạc quá thất_vọng mất_công mong_chờ k đáng được number sao luôn phí tiền,1
chất_lượng quá tệ có dấu_hiệu bán hàng đã qua sử_dụng,1
điều_khiển k dùng được có number số thì number số quay như đấu trực_tiếp number số quay chậm quá tháo ra vứt xó,1
chất_liệu vậy thì dày thêm cũng không cách_âm được dán vào như_không dán,1
sản_phẩm không dùng được mọi người đừng ham rẻ mà mua trên mạng tốt nhất nên mua trực_tiếp còn thử được khi mua,1
không chạy được bấm không phát ra tín_hiệu,1
không sử_dụng được không có bản_mạch vỏ nhựa không lừa,1
không xài được không có number tín_hiệu gì ăn_nhập với tivi trong khi mẫu_mã y_chang cái cũ mà không sử_dụng được,1
mua dây nhìn khá đẹp nhưng cái móc khoá có như không hỏi cửa_hàng thì number ngày mới trả_lời,1
đặt dây màu vàng hồng nhưng cửa_hàng lại gửi màu đen inbox liên_hệ thì k đọc và cũng k rep tin nhắn của khách dịch_vụ tệ vãi chưởng,1
dây đẹp nhưng_mà không có cái viền cao_su bên trong thì lắp kiểu gì,1
support khách_hàng kém,1
không phải của miband4 đâu anh_em cẩn_thận,1
đặt_hàng number kiểu giao number kiểu khác như kiểu tồn hàng gì thì bán cho khách_hàng đó ý hazz bán hàng quá chán đời,1
muốn đổi trả vì form dáng không phù_hợp màu tím nhìn hơi ngả vàng vì kim_loại chất_lượng thấp nhắn_tin cửa_hàng không rep lại không biết vì sao,1
mua màu đen cho ông_xã mà giao màu bạc của nữ không hài_lòng,1
nhắn_tin rất nhiều nhưng cửa_hàng không trả_lời và cứ giao hàng luôn,1
mua dây cho miband number thì cửa_hàng gửi dây của miband number number lắp không vừa vì miband number lớn hơn number chút chất_lượng hoàn_thiện của dây kém number sao nhé,1
bán hàng lỗi chốt dây,1
giao hàng thiếu sản_phẩm miếng dán màn_hình,1
giao hàng không đúng mẫu,1
dây rất đẹp dùng lâu mới biết chất_lượng như_thế_nào cửa_hàng gửi thiếu miếng dán mình đặt kèm inbox không thèm rep rep bằng icon rồi bỏ,1
cửa_hàng giao hàng thiếu nt cửa_hàng nói chồng lại tiền của hàng thiếu mà chờ hoài cửa_hàng không chồng lại lừa_đảo,1
dây con gái đeo hơi to đặt_hàng number sản_phẩm cửa_hàng đóng thiếu number sản_phẩm chán ghê,1
kiểm_tra bị lỗi không truyền được tín_hiệu nhưng lại nhanh tay nhấn vào nút đã nhận hàng thế_là không hoàn hàng được thấy mình ngu thật liên_hệ với cửa_hàng thì thấy khó_khăn quá chốt lại là tay nhanh hơn não,1
sản_phẩm y hình nhưng quá chán mình mua number cái về đều vứt bỏ vì không sử_dụng được cắm vào thiết_bị và máy_tính như hướng_dẫn và not ok quá thất_vọng,1
hàng chưa về người giao hàng chưa giao đã báo về admin của cửa hàngpe nói mình boom hàng chửi khách thái_độ này_nọ ai muốn mua sản_phẩm thì nên cân_nhắc vì thái_độ phục_vụ của cửa_hàng nhe bây_giờ lại lên nói mình thái_độ gần number tuổi mà nói_nhỏ bẻ cong sự_thật mọi người nên cẩn_trọng khi mua cửa_hàng này nha,1
tai nghe number bên không nghe được bảo là nam_châm hút mà về không hút được hàng bên cửa_hàng kém chất_lượng,1
phục_vụ quá kém chẳng thèm để_ý đến tin nhắn khách_hàng,1
tai nghe mua mới được nửa tháng thì bị đứt ngang,1
tai nghe lởm quá,1
cửa_hàng gửi thiếu mình number miếng dán,1
thiếu hàng,1
không được nhận,1
giao hàng khác mô_tả mạch cửa_hàng giao là loại mạch mà cửa_hàng khác đang bán number number đ không đáng bao_nhiêu tiền nhưng đừng lừa người tiêu_dùng như_vậy,1
cho number v vào không thấy lên,1
mua cái trước thấy ok thì number luôn mua thêm cái nữa k bắt được kênh nào thì number luôn,1
nói_chung cẩu_thả trong khâu đóng_gói,1
giao hàng quá lâu cùng hà_nội mà tận number ngày mới nhận được hàng,2
nội_thành giao number ngày chưa nhận được hàng không giao nhưng tự_động báo đã giao hành mất tiền,1
không bắt được bất_kì kênh nào cả thất_vọng nhất kể từ khi mua hàng shopee,1
thiết_bị không hoạt_động được nhé mọi người,1
lắp vô mà chả bắt được kênh nào buồn thật,1
không như quảng_cáo bắt được nhiều nhưng xem được number kênh,1
không dùng được lừa_đảo,1
mua về không dùng được,1
ăng ten không bắt được kênh nào cả,1
không bắt được tín_hiệu,1
cách trạm phát_sóng number km không vướng nhà cao_tầng mà xoay các hướng k bắt được kênh nàobj,1
không bắt được bất_kì kênh nào phí tiền mua mình ở bắc_ninh cũng không phải xa đài phát vậy_mà mua về đành ngậm_ngùi vứt đi lẽ_ra trong thông_tin nhà bán hàng nên nói rõ là các tỉnh không nên mua loại anten này chỉ nên mua khi ở nhà chung_cư cao_tầng và thành_phố có cột phát_sóng dvbt2,1
để trong nhà không dùng được dây number m không biết mang đi đâu kiểu gì làm_sao hoạt_động được bjo,1
đúng mẫu nhưng k biết có p do nhà m ở ngoại_thành hn hay k mà k dò được kênh các bạn ở ngoại_thành tỉnh nếu mua thì cân_nhắc nhé,1
nhà ở tầng number khu công_việc hoà_bình hn mà không bắt được vtv1 vtv3 không bằng cái móc áo coi như vất đi,1
bán xong nhắn mãi không phản_hồi ý_kiến bán hàng lỗi không dùng được,1
lỗi tai nge trái vận_chuyển lâu shops không uy_tín,1
chỉ nghe được một bên và tai nghe có dấu_hiệu đã qua sử_dụng và khá dơ,1
giao hàng quá chậm,2
hoàn_thiện kém không khớp màu in hình in không sắc nét màu k chuẩn như hình,1
mua một kiểu giao hàng lại là dây chuyển_đổi vga hdmi cạn_lời thật,1
cable không dùng được k biết có phải do máy của mình k nữa number k mà cable có_vẻ hơi lởm,1
cáp mới dùng được number ngày đã hỏng phí tiền,1
bảo sản_phẩm hỏng không chịu hoàn tiền,1
sản_phẩm lỗi không hoạt_động cũng giao cho khách,1
không dùng được nhắn_tin cửa_hàng hỗ_trợ cũng không trả_lời,1
không dùng được chiều phin cũng không đúng,1
gửi thiếu sản_phẩm không phản_hồi lại thiếu trách_nhiệm,1
chắc đen nên mua phải chiếc lởm sau number ngày dùng,1
cửa_hàng lừa_đảo à bán hàng đểu thế_này pin dock sạc mãi không được tai nghe báo pin ảo được number p hết pin liên_hệ thì không giải_quyết,1
đặt màu đỏ ship màu này nhắn_tin lâu trả_lời ship từ loc ra hà_đông mất number ngày máy thì bthg cửa_hàng nào bán loa chả có nên không đánh_giá chỉ đánh_giá thái_độ cửa_hàng,1
rớt hai bên miếng loa mong câu trả_lời cũa sop đóng_gói vậy_mà cũng gởi đi đx mất niềm tin quá,1
mọi sự ngu_dốt đều trả_giá bằng tiền_mặt mọi người nói thật đúng,1
chất_lượng sản_phẩm rất kém chất_lượng sản_phẩm rất kém chất_lượng sản_phẩm rất kém đóng_gói sản_phẩm rất kém thời_gian giao hàng rất chậm,1
sao đặt mà tận number ngày chưa nhận được hàng và tại_sao lại có chữ đã giao thành_công,1
không sai được,1
cửa_hàng giao nhầm sản_phẩm mặc_dù mình đã nhắn_tin nhưng cửa_hàng không hề rep lại một câu nào kể_cả lúc online mong lần sau cửa_hàng làm uy_tín một_chút,1
giao nhầm sản_phẩm hỏi cửa_hàng về thắc_mắc cửa_hàng không giải_quyết rõ_ràng,1
chất âm kém hơi nhỏ,1
giao hàng quá lâu nút ấn chập_chờn bấm không nhạy âm_thanh quá bình_thường nói_chung là nghe được chứ không hay lắm,1
dw number mm không nên mua nhé mọi người vì number chốt không vừa với cửa_hàng không nhận đổi lại đâu ạ,1
không lắp vào đồng_hồ được dây thì number mm nhưng number cái đầu dây chừng number mm vậy đó rồi sao lắp vào đáng_lẽ phải note rõ ở phần mô_tả sản_phẩm để người mua biết chứ tôi muốn được trả hàng hoàn tiền,1
đúng kiểu đồ_chơi trẻ_con đặt number mm được cái lẫy number còn dây number đầu chuột đuôi voi toàn vote ảo,1
hàng giao nhầm loại đặt loại dây nam_châm nhưng là cài khoá nhắn_tin không hồi_âm gọi điện thuê_bao trong khi trước đó đã trao_đổi loại cần đặt mọi người nên xem đánh_giá number hoặc number để có sự lựa_chọn hợp_lý,1
hàng quá tệ rồi công_nhận gói hàng kỹ và rất chuẩn nhưng chất_lượng âm_thanh quá giở hàng bán không đúng như tiêu_đề đã đăng sản_phẩm thì đúng chất_lượng thì không đúng chất_lượng của hàng nhái chất_lượng thua hàng của nanomax đức đường,1
giao hàng chậm đóng_gói chắc_chắn giao hàng number cặp mà bị hư number cái rất thất_vọng về cửa_hàng không biết cửa_hàng có đổi cho cái khác không,1
loa chưa đủ kích_thước number cm chép bì rè,1
nt với cửa_hàng mà cách nc của cửa_hàng thấy không ưng nổi,1
hàng giao nhanh nhưng không hề giống trong hình không nhãn_mác,1
chất_lượng sản_phẩm rất tệ âm_thanh nhỏ hơn number so với loa khác cùng giá tiền,1
lừa_đảo đó các bạn mua về nhưng không xài được cửa_hàng không cho đổi lại,1
loa bị rè,1
mua chung với number cặp loa trung cặp loa trung hỏng một loa,1
cửa_hàng chả rep trả_lời gì chán,1
không hài_lòng,1
quá tệ,1
loa không có bass nghe nhạc_nhẹ thì tạm chấp_nhận loa không giống như quảng_cáo hối_hận khi mua đúng tiền_nào_của_nấy,1
loa chỉ có number loa và number w không giống như cửa_hàng mô_tả number w và number loa toa kết_nối bluetooth chập_chờn nghe bé ship từ loc sang loc cực chậm mất gần tuần cửa_hàng rất thái_độ khách chat không thèm rep lúc đầu hỏi mua tư_vấn ghê lắm lúc có trouble thì không ra_gì,1
loa nghe đúng vài lần là hư mở lớn thì rè nhắn cửa_hàng không trả_lời đúng kiểu lừa_đảo hối_hận vì đã mua,1
mẹ đúng kiểu lừa_đảo nhận hàng chiều_qua lúc mới nhận thì cũng đánh_giá number để ủng_hộ nhưng vừa dùng được number hôm thì hôm_nay tịt luôn không tiếc hơn number k nhưng cay_cú vì kiểu mình bị lừa giờ đúng là mua hàng trên mạng như cc,1
hàng loa nghe to sẽ bị rè bass không coa được nhưng trong video dùng loa lớn không nghe rõ nhắn_tin cửa_hàng không thèm trả_lời,1
dùng number ngày và hỏng quá tôih,1
lừa_đảo người dùng,1
hàng không_thể kết_nối các ứng_dụng,1
lừa_đảo,1
không nên mua đeo cho vui vậy thôi không dùng duoc dau,1
đóng_gói hàng vô_cùng ẩu giao hàng rất lâu nhắn_tin hỏi mấy ngày trời vẫn không thấy cửa_hàng trả_lời thái_độ phục_vụ không tốt sản_phẩm nhìn bề_ngoài thì có vẻ ổn mua chơi vui cũng được chớ mua về mà chờ cửa_hàng hướng_dẫn thì hết bà thanh_xuân rồi,1
sản_phẩm kém chất_lượng không dùng được sạc không vào đóng_gói sản_phẩm sơ_sài,1
hàng lởm sạc không vào điện mở không lên nguồn thất_vọng ghê_gớm,1
về không dùng được sạc pin không vào,1
mở không lên,1
xài không tóc,1
phí tiền mua về sạc k được k lên được nguồn k lam được cái gì hết chỉ có vứt sọt rác,1
hàng lỗi sạc không vào chán mua quên k bóc ra cứ để thôi mất tiền oan chán,1
hàng nhận về bị hở pin sử_dụng mau hết màn_hình thì mờ khi ra nắng nói_chung là không ok với_lại hộp đóng_gói rất tệ,1
đồng_hồ của cửa_hàng không quét được mã dù là mã ở trên giấy hướng_dẫn hay mã trên mặt đồng_hồ,1
đồng_hồ không_thể sử_dụng được đề_nghị mọi người không nên ham vào sale của cửa hàngee mà mua sản_phẩm kém chất_lượng như_thế cửa_hàng phục_vụ rất tệ number k mà giống như vừa mau number đống phế_liệu điện_tử về nhà cách hoàn_trả hoàn của cửa hàngpe cũng rất phức_tạp thất_vọng,1
không nên mua đồng_hồ ở đây nhé gh thì rất lâu đồng_hồ bị trầy nhiều chất_lượng phục_vụ kém rất thất_vọng khi mua number chiếc đồng_hồ quá là dởm như thế_này đừng bao h mua đồng_hồ của cửa_hàng này nha mọi người,1
sạc không lên pin rất tệ đang rất bực_mình,1
mình đặt_hàng number món thì giao thiếu number món món đắt tiền nhất đồng_hồ thì mở ra đã thấy vỡ như thế_này tất_nhiên là không xài được mình đã nhắn_tin làm_việc với cửa_hàng cửa_hàng chỉ báo bồi_thường number k trong khi đơn này mình đặt là number k,1
khởi_động không được sạc k bít vô hay k ai bít giúp mình với mấy bạn,1
rẻ đẹp phong_cách ngầu lòi đóng_gói chắc_chắn giao hàng cực nhanh mỗi_tội đ o lên điện và sạc cũng đ o vào điện,1
k ghép đôi với điện_thoại ip6splus được luôn,1
không bao_giờ tin_tưởng vào cửa_hàng,1
đồ hồ không kết_nối được chán lắm cửa_hàng cũng có nói đổi sản_phẩm nhưng ma phait mua sản_phẩm khác cửa_hàng gửi kèm mà mìh thi sợ k giám mua j nua,1
không thấy hàng đâu mà cửa_hàng đã báo nhận được rồi,1
pin sạc không vào gửi sai mẫu_mã hàng đểu mọi người không nên mua,1
lừa_đảo mua number chị number c đều hỏng k dùng được phí tiền mọi người đừng nên mua,1
như con cá chán không muốn nói nhưng vẫn phải nói đu ma bo lon,1
đáng_ra là number sao mua về hư sẵn rồi nhé mọi người không lên màn_hình sạc pin number tiếng vẫn không lên sản_phẩm đã qua sd độ mới sản_phẩm number,1
mua về sản_phẩm sử_dụng không được kết_nối không được với bluetooth dt,1
mới nhận về mở không lên sản_phẩm khác so với trong ảnh quá tệ,1
không chinh gio duoc gi het noi chung mua cho con nit choi ²duoc,1
sản_phẩm rất tệ vừa nhận được hàng mở ra đã hỏng mặt đồng_hồ lắp vào lại rơi ra,1
mua number cái giao number cái hỏng không bao_giờ mua trên mạng nữa,1
đơn hàng tôi đã nhận được nhưng không phải làm sản_phẩm tốt vì không_thể cài_đặt giờ,1
phế_phẩm,1
bán đồ hỏng cho người ta à,1
sản_phẩm quá tệ sạc không vào,1
sản_phẩm quá tệ cửa_hàng không_chỉ cách cài_đặt giờ,1
sản_phẩm rất tệ mới mua sạc đã hỏng,1
tiền_nào_của_nấy mặt đồng_hồ thì biết xước như sd qua rồi đúng tiền chợ có khác còn k cài được giờ,1
sản_phẩm không dùng được chất_lượng quá kém,1
đe p hư rô i cửa_hàng vô nươ chị mơ không lên hi nh pha i làm_sao đây cửa_hàng,1
quá thất_vọng hàng không giống như cửa_hàng đăng bán hazxz,1
mình mua number cái number cái dùng được number cái không dùng được tức ghê,1
sản_phẩm kém lên pin được mấy tiếng rồi chết đúng là tiền_nào_của_ấy,1
không lên hình được nhé mình sạc hơn number tiếng đồng_hồ mà vẫn không được bố_thí cho bọn làm_ăn thất_đức vậy,1
có xài được đâu number cục sắt vụn sạc cũng không lên quăng luôn rồi,1
không chỉnh được giờ k kết_nối được chất_lượng kém,1
m mua toàn bị lỗi thôi giao hàng lâu mua number number cái đều lỗi chán lắm hoàn thì mất thời_gian,1
kém chất_lượng không kết_nối được bluetooth,1
hàng chán,1
đồng_hồ mua về không coi được giờ không làm được j hết,1
chất_lượng quá tệ tan_vỡ trong một ngày,1
không cài_đặt được,1
chất_lượng sản_phẩm kém mình mua number chiếc đồng_hồ một chiếc chạy được number chiếc không bảo cửa_hàng trả hàng hoàn tiền cứ gởi lại yêu_cầu number k number k trong khi thiết_bị hư thì hoàn lại tiền cho người ta chứ đến bây_giờ thì cửa hàngee giải_quyết cũng k hoàn lại được xu nào nói_chung là thái_độ kém k nên mua mọi người ạ,1
chiều hôm thứ number mình nhận hàng của cửa_hàng đến sáng chủ_nhật màn_hình đồng_hồ bị như này mọi người ạ mình đã inbox cửa_hàng nhưng cửa_hàng cứ vòng_vo mãi không giải_quyết vấn_đề cho mình không nên mua mọi người ạ,1
đồ hỏng mua về bật không lên màn_hình cửa_hàng làm_ăn quá tệ nói_chung không nên mua,1
mua cả number cái về sạc cả ngày đều không lên lừa_đảo,1
đồng_hồ chờ thiệt lâu mới về thôi hàng quốc_tế cũng chấp_nhận nhưng_mà down app về không kết_nối bluetooth được hỏi cửa_hàng cũng chả giải_quyết được gì cuối_cùng chỉ coi giờ với đếm bước chân mà giờ không đúng đếm không chính_xác phí tiền,1
quá tệ k thể sử_dụng quá quá quá tệ,1
mua về rác nhà,1
bảo chống nước mà mới có dính tí nước hỏng lun,1
không cài_đặt được ngày_tháng pin dùng nhanh hết,1
hàng như j phiên_bản china mau hết pin không kết_nối được không bền number sao,1
k kết_nối được k sài được vứt xó,1
người ta nói đúng không cài_đặt được giờ sử_dụng phải bấm núc không thích,1
không nhận được thông_báo tin nhắn chẳng có number âm_thanh nào ngoài xem giờ và rung khi bật tìm kiêma bluetooth nói_chung tệ,1
xai chut xiu da hu,1
mặt kính bị sút ra,1
mọi người đừng mua không kết_nối được với điện_thoại đâu không chỉnh giờ được đâu mua về vứt đi thì mua,1
hàng mở mãi không lên cắm xạc không vào chát với cách sử_dụng không thấy trả_lời,1
đồng_hồ này không có tác_dụng kháng nước xuống_nước hỏng ngay mua phí tiền,1
hàng lỗi mà cửa_hàng không chịu nhận lại,1
đã nhận được sản_phẩm nhưng không lên nổi hình sạc hơn tiếng không lên nổi thôi tiền nào của đấy coi như bố_thí,1
sản_phẩm xài không được khách đòi trả hàng hoàn tiền món hàng mua number không cửa_hàng nói trả lại number k người bán và cả sản_phẩm quá thấp_kém so với giá tiền,1
giao hàng quá chậm delay qua quá nhiều người giao hàng hiz,2
sạc mãi không vào,1
sản_phẩm qua tệ bi vao nuoc pin thi nhanh het,1
hàng kém chất_lượng,1
máy mình xài number tuần vẫn bị number lỗi là chỉ sạc tai nghe được khi cắm cáp vào hộp tháo ra là không sạc tai nghe mà tự tắt sau number p cửa_hàng chat xong rồi không trả_lời để đổi bảo_hành luôn,1
không sử_dụng được cửa_hàng chan khách,1
chỉ là âm_thanh mono,1
xài cắm vô một lần là hư không ngờ cửa_hàng bán đồ tệ vậy luônnnn,1
cổng hdmi không dùng được,1
đồ điện_tử nhưng gói_ghém lỏng_lẻo không chống sốc hàng về bị trầy_xước chán,1
chất_lượng sản_phẩm rất kém cắm vào màn number không bị tình_trạng lỗi màu gửi tin nhắn cửa_hàng không trả_lời không đáng mua,1
sản_phẩm bị hư không_thể dùng được quá thất_vọng,1
